,META,AVGO,MSFT,GOOGL,NVDA,NFLX,AMD,TSLA,AMZN,AAPL
2026-01-02,649.8662438791,346.9208014606,471.8623642237,314.9341227126,188.8398489572,90.99,223.47,438.07,226.5,270.7536605064
2026-01-05,658.239238027,342.7292492883,471.7725692966,316.3231705646,188.1098881961,91.46,221.08,451.67,233.06,267.0072075087
2026-01-06,660.0677081094,343.0785453026,477.4196724842,314.1246775614,187.2299354977,90.65,214.35,432.96,240.93,262.1118422584
2026-01-07,648.1476818345,342.8090883773,482.3683706838,321.7594441726,189.0998349817,90.73,210.02,431.41,241.56,260.083762369
2026-01-08,645.5198805685,331.8112538681,477.0205839197,325.2170740777,185.0300537519,90.53,204.68,435.8,246.29,258.7949825378
2026-01-09,652.5140284247,344.2761316376,478.1879179708,328.3449300323,184.8500634272,89.46,203.17,445.01,247.38,259.1246704016
2026-01-12,641.4332998925,351.5015691917,476.0927030072,331.6326763871,184.9300591271,89.41,207.69,448.96,246.47,260.0038380384
2026-01-13,630.562395796,353.8967418616,469.5975366202,335.7398610432,185.8000123629,90.32,220.97,447.2,242.6,260.8030813446
2026-01-14,615.0054126359,339.2063494863,458.3332618875,335.609950093,183.1301558805,88.55,223.6,439.2,236.65,259.7141123399
2026-01-15,620.2809984474,342.3300538433,455.6194596489,332.5520461885,187.0399457106,88.05,227.92,438.57,238.18,257.9657676077
2026-01-16,619.7314582587,351.0025748855,458.8121681649,329.7739504844,186.2199897871,88.0,231.83,437.5,239.12,255.288302532
2026-01-20,603.61494327,331.9310125015,453.4843358289,321.7794304726,178.0604284025,87.26,231.92,419.25,231.0,246.4666545402
2026-01-21,612.4475528484,328.1386557742,443.0980559381,328.155060182,183.3101462051,85.36,249.8,431.44,231.31,247.4157559662
2026-01-22,647.0885680162,324.835313467,450.112037459,330.3135805852,184.8300645023,83.54,253.73,449.36,234.34,248.1150938591
2026-01-23,658.2092631076,319.4062554153,464.8882915592,327.7053684314,187.6599123844,86.12,259.68,449.06,239.16,247.805387078
2026-01-26,671.7978932282,324.196600755,469.2084252698,333.0317173892,186.4599768867,85.7,251.31,435.2,238.42,255.1684160361
2026-01-27,672.4073832557,332.1206303379,479.4849558054,334.3208337411,188.5098666953,85.58,252.03,430.9,244.68,258.0257108556
2026-01-28,668.1709279828,332.5697252135,480.5325632872,335.7798336432,191.5097054397,84.64,252.74,431.46,243.01,256.1974417928
2026-01-29,737.6927576735,330.0647737963,432.512231765,338.0182992465,192.4996522253,83.16,252.18,416.56,241.73,258.035701397
2026-01-30,715.9009912815,330.6336273054,429.309546035,337.7684704961,191.1197264029,83.49,236.73,430.41,239.3,259.2345663562
2026-02-02,705.8194267288,330.444009469,422.4053138693,343.4545728545,185.6000231133,82.76,246.27,421.81,242.96,269.7546063737
2026-02-03,691.1217245909,319.6856922268,410.2730215089,339.4772991486,180.3303063857,79.94,242.11,421.96,238.62,269.2251076834
2026-02-04,668.4307106175,307.4303920658,413.2462313143,332.8118680889,174.1806369598,80.16,200.19,406.01,232.99,276.2284771537
2026-02-05,669.6496906724,309.8854440525,392.772987956,331.0230942362,171.8707611266,80.87,192.5,397.21,222.69,275.6490257567
2026-02-06,660.9070058521,332.2503688575,400.2259668979,322.6388413739,185.4000338637,82.2,208.44,411.11,210.32,277.85693539
2026-02-09,676.6538301684,343.2482033668,412.6575756817,324.0978412761,190.0297849925,81.47,216.0,417.32,208.72,274.62
2026-02-10,670.1592643019,339.7552432232,412.328327616,318.3617731676,188.5298656203,82.21,213.57,425.21,206.96,273.68
2026-02-11,668.1309614236,342.0705768041,403.4486070561,310.7469928564,190.039784455,79.62,213.58,428.27,204.08,275.5
2026-02-12,649.2667454915,330.5038887857,400.9243718857,308.7883354536,186.9299516233,75.86,205.94,417.07,199.6,261.73
2026-02-13,639.2351391377,324.515957111,400.4055567519,305.5105822488,182.8001736186,76.87,207.32,417.44,198.79,255.78
2026-02-17,638.7555404276,331.8711331848,395.9557192578,301.8131167433,184.9600575145,77.0,203.08,410.63,201.15,263.88
2026-02-18,642.6822548668,332.8391821389,398.6894759246,303.1222193952,187.9698957214,77.99,200.12,411.32,204.79,264.35
2026-02-19,644.2409506748,333.3182166729,398.46,302.6425481945,187.8899000215,77.0,203.37,411.71,204.86,260.58
2026-02-20,655.1118547713,331.9809119322,397.23,314.7642391623,189.8097968179,78.67,200.15,411.82,210.11,264.58
2026-02-23,636.7172459095,329.6755582374,384.47,311.2766298072,191.5397038271,76.02,196.6,399.83,205.27,266.18
2026-02-24,638.7655320674,324.835313467,389.0,310.6870339564,192.8396339497,78.04,213.84,409.38,208.56,272.14
2026-02-25,653.1435017318,331.6415958039,400.6,312.6856639593,195.5494882821,82.7,210.86,417.4,210.64,274.23
2026-02-26,656.4607261436,321.0529366258,401.72,307.1694451512,184.8800618147,84.59,203.68,408.58,207.92,272.95
2026-02-27,647.6381082049,318.907261109,392.74,311.5464448576,177.1804757041,96.24,200.21,402.51,210.0,264.18
2026-03-02,653.0136104144,318.178729422,398.55,306.3100342499,182.4701913567,97.09,198.62,403.32,208.39,264.72
2026-03-03,654.5323396632,313.2087461319,403.93,303.3720481456,180.0403219738,97.7,190.95,392.43,208.73,263.75
2026-03-04,667.1717640033,316.8913241119,405.2,302.922356395,183.0301612556,98.66,202.07,405.94,216.82,262.52
2026-03-05,660.0177499104,332.1006705657,410.68,300.6738976416,183.3301451301,99.17,199.45,405.55,218.94,260.29
2026-03-06,644.3208837931,329.8152766431,408.96,298.3155142382,177.8104418405,99.02,192.43,396.73,213.21,257.46
2026-03-09,646.8487686612,345.0545627553,409.41,306.36,182.6401822189,98.32,202.68,398.68,213.49,259.88
2026-03-10,653.523184044,341.8909388538,405.76,307.04,184.7600682649,96.94,203.23,399.235,214.33,260.83
2026-03-11,654.3125235877,340.8829703552,404.88,308.7,186.03,94.89,204.83,407.82,212.65,260.81
2026-03-12,637.6464684104,335.2942341255,401.86,303.55,183.14,94.31,197.74,395.01,209.53,255.76
2026-03-13,613.196925833,321.5120113875,395.55,302.28,180.25,95.31,193.39,391.2,207.67,250.12
2026-03-16,627.45,324.2664599579,399.95,305.56,183.22,95.2,196.58,395.56,211.74,252.82
2026-03-17,622.66,320.663721067,399.41,310.92,181.93,94.36,196.31,399.27,215.2,254.23
2026-03-18,615.68,315.294542332,391.79,307.69,180.4,94.7,199.46,392.78,209.87,249.94
2026-03-19,606.7,319.1966778067,389.02,307.13,178.56,91.74,205.27,380.3,208.76,248.96
2026-03-20,593.66,309.8854440525,381.87,301.0,172.7,91.82,201.33,367.96,205.37,247.99
2026-03-23,604.06,322.51,383.0,302.06,175.64,93.38,202.68,380.85,210.14,251.49
2026-03-24,592.92,318.29,372.74,290.44,175.2,90.92,205.37,383.03,207.24,251.64
2026-03-25,594.89,318.81,371.04,290.93,178.68,92.28,220.27,385.95,211.71,252.62
2026-03-26,547.54,309.415,365.97,280.92,171.24,93.32,203.77,372.11,207.54,252.89
2026-03-27,525.72,300.68,356.77,274.34,167.52,93.43,201.99,361.83,199.34,248.8
2026-03-30,536.38,293.41,358.96,273.5,165.17,92.97,196.04,355.28,200.95,246.63
2026-03-31,572.13,309.51,370.17,287.56,174.4,96.15,203.43,371.75,208.27,253.79
2026-04-01,579.23,313.49,369.37,297.39,175.75,95.55,210.21,381.26,210.57,255.63
2026-04-02,574.46,314.55,373.46,295.77,177.39,98.66,217.5,360.59,209.77,255.92
2026-04-06,573.02,314.43,372.88,299.99,177.64,98.93,220.18,352.82,212.79,258.86
2026-04-07,575.05,333.97,372.29,305.46,178.1,98.82,221.53,346.65,213.77,253.5
2026-04-08,612.42,350.63,374.33,317.32,182.08,99.39,231.82,343.25,221.25,258.9
2026-04-09,628.39,354.91,373.07,318.49,183.91,102.05,236.64,345.62,233.65,260.49
2026-04-10,629.86,371.55,370.87,317.24,188.63,103.01,245.04,348.95,238.38,260.48
2026-04-13,634.53,379.75,384.37,321.31,189.31,103.16,246.83,352.42,239.89,259.2
2026-04-14,662.49,380.78,393.11,332.91,196.51,106.28,255.07,364.2,249.02,258.83
2026-04-15,671.58,396.72,411.22,337.12,198.87,107.71,258.12,391.95,248.5,266.43
2026-04-16,676.87,398.47,420.26,336.02,198.35,107.79,278.26,388.9,249.7,263.4
2026-04-17,688.55,406.54,422.79,341.68,201.68,97.31,278.39,400.62,250.56,270.23
2026-04-20,670.91,399.63,418.07,337.42,202.06,94.83,274.95,392.5,248.28,273.05
2026-04-21,668.84,402.17,424.16,332.29,199.88,92.58,284.49,386.42,249.91,266.17
2026-04-22,674.72,422.65,432.92,339.32,202.5,93.24,303.46,387.51,255.36,273.17
2026-04-23,659.15,419.94,415.75,338.89,199.64,92.82,305.33,373.72,255.08,273.43
2026-04-24,675.03,422.76,424.62,344.4,208.27,92.44,347.81,376.3,263.99,271.06
2026-04-27,678.62,418.2,424.82,350.34,216.61,91.37,334.63,378.67,261.12,267.61
2026-04-28,671.34,399.83,429.25,349.78,213.17,92.27,323.21,376.02,259.7,270.71
2026-04-29,669.12,405.45,424.46,349.94,209.25,92.12,337.11,372.8,263.04,270.17
2026-04-30,611.91,417.43,407.78,384.8,199.57,93.61,354.49,381.63,265.06,271.35
2026-05-01,608.745,421.28,414.44,385.69,198.45,92.06,360.54,390.82,268.26,280.14
2026-05-04,610.41,416.5,413.62,383.25,198.48,91.02,341.54,392.51,272.05,276.83
2026-05-05,604.96,427.36,411.38,388.43,196.5,87.89,355.26,389.37,273.55,284.18
2026-05-06,612.88,425.44,413.96,398.04,207.83,88.27,421.39,398.73,274.99,287.51
2026-05-07,616.81,412.56,420.77,397.99,211.5,88.25,408.46,411.79,271.17,287.44
2026-05-08,609.63,430.0,415.12,400.8,215.2,87.49,455.19,428.35,272.68,293.32
2026-05-11,598.86,428.43,412.66,388.64,219.44,85.45,458.79,445.0,268.99,292.68
2026-05-12,603.0,419.3,407.77,387.35,220.78,87.66,448.29,433.45,265.82,294.8
